1	1	我的比亚迪	car	60.0	dc_gb	120.0	1	2026-08-15 21:24:00
2	1	买菜小车	car	30.0	ac_gb	7.0	0	2026-08-15 21:24:00
3	2	通勤电车	car	75.0	dc_gb	150.0	1	2026-08-15 21:24:00
4	3	公司货车	light_truck	100.0	dc_gb	120.0	1	2026-08-15 21:24:00
5	4	网约车	car	60.0	dc_gb	90.0	1	2026-08-15 21:24:00
6	5	小电驴	two_wheeler	2.0	ac_gb	0.5	1	2026-08-15 21:24:00
7	6	物流厢式车	light_truck	115.0	dc_gb	180.0	1	2026-08-15 21:24:00
8	7	休旅车	car	80.0	dc_gb	120.0	1	2026-08-15 21:24:00
9	8	通勤轿车	car	55.0	ac_gb	11.0	1	2026-08-15 21:24:00
10	9	快车专车	car	66.0	dc_gb	100.0	1	2026-08-15 21:24:00
11	10	搬家货车	light_truck	95.0	dc_gb	140.0	1	2026-08-15 21:24:00
12	11	配送电驴	two_wheeler	3.0	ac_gb	0.6	1	2026-08-15 21:24:00
13	12	电动轿车	car	70.0	dc_gb	220.0	1	2026-08-15 21:24:00
14	13	京牌电车	car	68.0	dc_gb	120.0	1	2026-08-15 21:24:00
15	14	苏E通勤车	car	62.0	dc_gb	100.0	1	2026-08-15 21:24:00
16	15	网约专车	car	66.0	dc_gb	120.0	1	2026-08-15 21:24:00
17	16	冷链货柜车	light_truck	120.0	dc_gb	200.0	1	2026-08-15 21:24:00
18	17	郊游SUV	car	88.0	dc_gb	150.0	1	2026-08-15 21:24:00
