1	BAT-001	5	45.5	81	27.5	charging	37	2026-06-01 21:24:00
2	BAT-002	5	54.5	92	26.0	charging	50	2026-06-01 21:24:00
3	BAT-003	5	53.1	88	29.5	charging	38	2026-06-01 21:24:00
4	BAT-004	5	98.1	84	25.9	idle	35	2026-06-01 21:24:00
5	BAT-005	5	98.5	92	22.5	idle	22	2026-06-01 21:24:00
6	BAT-006	5	96.4	99	24.6	idle	11	2026-06-01 21:24:00
7	BAT-007	5	38.9	81	22.5	idle	7	2026-06-01 21:24:00
8	BAT-008	5	60.0	88	24.1	idle	30	2026-06-01 21:24:00
9	BAT-009	5	59.6	84	26.7	idle	1	2026-06-01 21:24:00
10	BAT-010	5	28.3	100	23.2	idle	8	2026-06-01 21:24:00
11	BAT-011	5	79.0	96	23.6	idle	39	2026-06-01 21:24:00
12	BAT-012	5	20.0	83	25.5	idle	26	2026-06-01 21:24:00
