1	1	1	unused	2026-08-20 21:24:00	\N
2	2	1	unused	2026-08-20 21:24:00	\N
3	3	1	unused	2026-08-20 21:24:00	\N
4	4	1	unused	2026-08-20 21:24:00	\N
5	5	1	unused	2026-08-20 21:24:00	\N
6	6	1	unused	2026-08-20 21:24:00	\N
7	7	1	unused	2026-08-20 21:24:00	\N
8	8	1	unused	2026-08-20 21:24:00	\N
9	9	1	unused	2026-08-20 21:24:00	\N
10	10	1	unused	2026-08-20 21:24:00	\N
11	11	1	unused	2026-08-20 21:24:00	\N
12	12	1	unused	2026-08-20 21:24:00	\N
13	13	1	unused	2026-08-20 21:24:00	\N
14	14	1	unused	2026-08-20 21:24:00	\N
15	15	1	unused	2026-08-20 21:24:00	\N
16	16	1	unused	2026-08-20 21:24:00	\N
17	17	1	unused	2026-08-20 21:24:00	\N
