1	13	recharge	150.0	150.0	\N	余额充值	2026-08-10 15:50:00
2	13	consume	-69.58	80.42	1	充电结算	2026-08-10 16:57:00
3	8	recharge	100.0	100.0	\N	余额充值	2026-08-10 15:15:00
4	8	consume	-9.75	90.25	2	充电结算	2026-08-10 17:33:00
5	13	consume	-23.5	56.92	3	充电结算	2026-08-10 22:10:00
6	4	recharge	100.0	100.0	\N	余额充值	2026-08-10 09:28:00
7	4	consume	-11.09	88.91	4	充电结算	2026-08-10 12:00:00
8	5	recharge	100.0	100.0	\N	余额充值	2026-08-10 07:45:00
9	5	consume	-10.59	89.41	5	充电结算	2026-08-10 11:52:00
10	3	recharge	200.0	200.0	\N	余额充值	2026-08-10 17:49:00
11	3	consume	-109.57	90.43	6	充电结算	2026-08-10 19:19:00
12	16	recharge	100.0	100.0	\N	余额充值	2026-08-10 16:34:00
13	16	consume	-23.82	76.18	7	充电结算	2026-08-10 17:23:00
14	8	consume	-24.63	65.62	8	充电结算	2026-08-10 23:59:00
15	6	recharge	100.0	100.0	\N	余额充值	2026-08-10 05:57:00
16	6	consume	-27.84	72.16	9	充电结算	2026-08-10 06:45:00
17	14	recharge	100.0	100.0	\N	余额充值	2026-08-10 10:28:00
18	14	consume	-49.77	50.23	10	充电结算	2026-08-10 11:30:00
19	6	consume	-27.09	45.07	11	充电结算	2026-08-10 09:16:00
20	5	consume	-80.96	8.45	12	充电结算	2026-08-10 15:51:00
21	15	recharge	100.0	100.0	\N	余额充值	2026-08-10 00:29:00
22	15	consume	-11.26	88.74	13	充电结算	2026-08-10 05:29:00
23	10	recharge	100.0	100.0	\N	余额充值	2026-08-10 09:11:00
24	10	consume	-20.99	79.01	14	充电结算	2026-08-10 14:14:00
25	16	consume	-51.16	25.02	15	充电结算	2026-08-11 00:21:00
26	10	consume	-19.78	59.23	16	充电结算	2026-08-11 04:15:00
27	2	recharge	100.0	100.0	\N	余额充值	2026-08-10 17:44:00
28	2	consume	-20.71	79.29	17	充电结算	2026-08-10 21:04:00
29	7	recharge	100.0	100.0	\N	余额充值	2026-08-10 09:43:00
30	7	consume	-21.73	78.27	18	充电结算	2026-08-10 14:43:00
31	4	consume	-8.04	80.87	19	充电结算	2026-08-11 11:11:00
32	3	consume	-77.61	12.82	20	充电结算	2026-08-11 18:49:00
33	12	recharge	100.0	100.0	\N	余额充值	2026-08-11 18:53:00
34	12	consume	-24.33	75.67	21	充电结算	2026-08-11 23:08:00
35	16	recharge	150.0	175.02	\N	余额充值	2026-08-11 20:50:00
36	16	consume	-111.03	63.99	22	充电结算	2026-08-11 22:24:00
37	5	recharge	100.0	108.45	\N	余额充值	2026-08-11 21:41:00
38	5	consume	-21.56	86.89	23	充电结算	2026-08-12 02:41:00
39	12	consume	-21.65	54.02	24	充电结算	2026-08-11 22:43:00
40	9	recharge	100.0	100.0	\N	余额充值	2026-08-11 10:18:00
41	9	consume	-18.86	81.14	25	充电结算	2026-08-11 15:08:00
42	11	recharge	100.0	100.0	\N	余额充值	2026-08-11 01:59:00
43	11	consume	-11.91	88.09	26	充电结算	2026-08-11 06:51:00
44	14	recharge	100.0	150.23	\N	余额充值	2026-08-11 16:57:00
45	14	consume	-67.82	82.41	27	充电结算	2026-08-11 17:52:00
46	4	recharge	100.0	180.87	\N	余额充值	2026-08-11 14:03:00
47	4	consume	-88.92	91.95	28	充电结算	2026-08-11 15:24:00
48	14	consume	-37.65	44.76	29	充电结算	2026-08-11 22:49:00
49	9	recharge	100.0	181.14	\N	余额充值	2026-08-11 11:18:00
50	9	consume	-97.92	83.22	30	充电结算	2026-08-11 12:49:00
51	12	recharge	100.0	154.02	\N	余额充值	2026-08-11 08:18:00
52	12	consume	-76.84	77.18	31	充电结算	2026-08-11 09:48:00
53	13	consume	-12.93	43.99	32	充电结算	2026-08-11 12:57:00
54	7	consume	-5.24	73.03	33	充电结算	2026-08-11 09:04:00
55	7	recharge	100.0	173.03	\N	余额充值	2026-08-11 18:30:00
56	7	consume	-109.7	63.33	34	充电结算	2026-08-11 20:05:00
57	11	recharge	100.0	188.09	\N	余额充值	2026-08-11 19:52:00
58	11	consume	-120.07	68.02	35	充电结算	2026-08-11 21:29:00
59	5	consume	-48.58	38.31	36	充电结算	2026-08-11 23:49:00
60	1	recharge	100.0	100.0	\N	余额充值	2026-08-11 02:45:00
61	1	consume	-45.13	54.87	37	充电结算	2026-08-11 04:22:00
62	2	consume	-8.66	70.63	38	充电结算	2026-08-11 11:22:00
63	12	consume	-19.21	57.97	39	充电结算	2026-08-11 16:39:00
64	17	recharge	100.0	100.0	\N	余额充值	2026-08-11 16:36:00
65	17	consume	-18.28	81.72	40	充电结算	2026-08-11 20:40:00
66	14	consume	-26.77	17.99	41	充电结算	2026-08-12 23:52:00
67	5	consume	-34.32	3.99	42	充电结算	2026-08-12 07:07:00
68	13	consume	-19.93	24.06	43	充电结算	2026-08-12 20:46:00
69	4	recharge	100.0	191.95	\N	余额充值	2026-08-12 18:50:00
70	4	consume	-107.36	84.59	44	充电结算	2026-08-12 20:23:00
71	11	recharge	100.0	168.02	\N	余额充值	2026-08-12 08:21:00
72	11	consume	-82.76	85.26	45	充电结算	2026-08-12 09:33:00
73	9	consume	-32.19	51.03	46	充电结算	2026-08-12 10:34:00
74	3	recharge	150.0	162.82	\N	余额充值	2026-08-12 18:42:00
75	3	consume	-62.85	99.97	47	充电结算	2026-08-12 19:35:00
76	11	consume	-64.52	20.74	48	充电结算	2026-08-12 16:30:00
77	2	consume	-19.01	51.62	49	充电结算	2026-08-12 15:54:00
78	16	consume	-11.12	52.87	50	充电结算	2026-08-12 10:51:00
79	8	consume	-28.31	37.31	51	充电结算	2026-08-12 23:14:00
80	1	consume	-36.2	18.67	52	充电结算	2026-08-12 16:54:00
81	12	consume	-41.9	16.07	53	充电结算	2026-08-12 21:48:00
82	1	consume	-10.19	8.48	54	充电结算	2026-08-12 10:30:00
83	10	consume	-47.5	11.73	55	充电结算	2026-08-12 09:07:00
84	2	consume	-41.01	10.61	56	充电结算	2026-08-12 08:27:00
85	9	consume	-17.46	33.57	57	充电结算	2026-08-12 16:20:00
86	16	recharge	100.0	152.87	\N	余额充值	2026-08-12 17:14:00
87	16	consume	-99.24	53.63	58	充电结算	2026-08-12 18:43:00
88	1	recharge	100.0	108.48	\N	余额充值	2026-08-12 16:08:00
89	1	consume	-56.69	51.79	59	充电结算	2026-08-12 17:14:00
90	1	consume	-15.39	36.4	60	充电结算	2026-08-13 13:03:00
91	12	recharge	150.0	166.07	\N	余额充值	2026-08-13 08:50:00
92	12	consume	-82.93	83.14	61	充电结算	2026-08-13 10:02:00
93	3	consume	-70.71	29.26	62	充电结算	2026-08-13 14:45:00
94	4	consume	-23.7	60.89	63	充电结算	2026-08-13 12:03:00
95	12	consume	-76.53	6.61	64	充电结算	2026-08-13 15:03:00
96	3	recharge	100.0	129.26	\N	余额充值	2026-08-13 11:42:00
97	3	consume	-52.72	76.54	65	充电结算	2026-08-13 12:48:00
98	17	consume	-48.42	33.3	66	充电结算	2026-08-13 08:47:00
99	5	recharge	100.0	103.99	\N	余额充值	2026-08-13 09:04:00
100	5	consume	-53.99	50.0	67	充电结算	2026-08-13 09:57:00
101	3	consume	-62.24	14.3	68	充电结算	2026-08-13 09:11:00
102	15	consume	-26.87	61.87	69	充电结算	2026-08-13 23:02:00
103	10	recharge	100.0	111.73	\N	余额充值	2026-08-13 11:58:00
104	10	consume	-18.87	92.86	70	充电结算	2026-08-13 16:36:00
105	2	recharge	100.0	110.61	\N	余额充值	2026-08-13 13:48:00
106	2	consume	-14.73	95.88	71	充电结算	2026-08-13 17:29:00
107	3	recharge	100.0	114.3	\N	余额充值	2026-08-13 22:24:00
108	3	consume	-59.61	54.69	72	充电结算	2026-08-13 23:35:00
109	2	consume	-94.42	1.46	73	充电结算	2026-08-13 18:59:00
110	2	recharge	100.0	101.46	\N	余额充值	2026-08-13 14:46:00
111	2	consume	-45.16	56.3	74	充电结算	2026-08-13 15:39:00
112	17	recharge	100.0	133.3	\N	余额充值	2026-08-13 17:10:00
113	17	consume	-76.12	57.18	75	充电结算	2026-08-13 17:59:00
114	6	consume	-37.15	7.92	76	充电结算	2026-08-13 16:03:00
115	2	consume	-9.04	47.26	77	充电结算	2026-08-13 11:39:00
116	5	recharge	100.0	150.0	\N	余额充值	2026-08-14 08:32:00
117	5	consume	-56.67	93.33	78	充电结算	2026-08-14 09:24:00
118	13	consume	-20.89	3.17	79	充电结算	2026-08-14 14:19:00
119	11	recharge	100.0	120.74	\N	余额充值	2026-08-14 10:39:00
120	11	consume	-21.97	98.77	80	充电结算	2026-08-14 15:37:00
121	17	consume	-28.71	28.47	81	充电结算	2026-08-14 22:29:00
122	6	recharge	100.0	107.92	\N	余额充值	2026-08-14 10:44:00
123	6	consume	-14.76	93.16	82	充电结算	2026-08-14 14:18:00
124	3	consume	-47.31	7.38	83	充电结算	2026-08-14 08:38:00
125	17	recharge	100.0	128.47	\N	余额充值	2026-08-14 17:16:00
126	17	consume	-31.41	97.06	84	充电结算	2026-08-14 22:12:00
127	5	consume	-64.54	28.79	85	充电结算	2026-08-14 17:46:00
128	15	recharge	150.0	211.87	\N	余额充值	2026-08-14 20:18:00
129	15	consume	-118.99	92.88	86	充电结算	2026-08-14 21:31:00
130	10	consume	-63.19	29.67	87	充电结算	2026-08-14 13:30:00
131	7	recharge	150.0	213.33	\N	余额充值	2026-08-14 18:31:00
132	7	consume	-157.31	56.02	88	充电结算	2026-08-14 20:01:00
133	13	recharge	150.0	153.17	\N	余额充值	2026-08-14 08:21:00
134	13	consume	-96.57	56.6	89	充电结算	2026-08-14 09:41:00
135	5	consume	-13.53	15.26	90	充电结算	2026-08-14 20:56:00
136	17	consume	-79.56	17.5	91	充电结算	2026-08-14 21:05:00
137	5	recharge	100.0	115.26	\N	余额充值	2026-08-14 20:53:00
138	5	consume	-37.5	77.76	92	充电结算	2026-08-14 21:45:00
139	1	consume	-9.51	26.89	93	充电结算	2026-08-14 11:40:00
