1	1	order	充电进行中	您正在 大学城充电站 充电	527	0	2026-09-09 20:49:00
2	1	system	欢迎使用充电服务	完成首单可获得新人立减券一张	\N	1	2026-09-09 08:24:00
3	1	order	订单已结算	感谢使用, 本次充电已结算完成	\N	1	2026-09-09 14:24:00
4	1	reservation	排队提醒	您预约的电站已有空闲电桩	\N	0	2026-09-09 18:24:00
5	1	coupon	会员权益升级	恭喜您成为 vip 会员, 尽享折扣与优惠券回馈	\N	0	2026-09-09 00:24:00
6	2	coupon	优惠券即将过期	您有 1 张满50减8 券将在3天后过期	\N	0	2026-09-08 13:24:00
7	2	point	积分到账	本次充电获得积分, 可在积分商城使用	\N	0	2026-09-09 14:24:00
8	2	system	夜间充电优惠	00:00-08:00 谷电时段服务费有优惠	\N	0	2026-09-07 19:24:00
9	2	reservation	附近新增电站	您收藏的区域新增了电站, 快去看看吧	\N	1	2026-09-09 16:24:00
10	3	system	欢迎使用充电服务	完成首单可获得新人立减券一张	\N	1	2026-09-09 06:24:00
11	3	order	订单已结算	感谢使用, 本次充电已结算完成	\N	1	2026-09-09 12:24:00
12	3	reservation	排队提醒	您预约的电站已有空闲电桩	\N	0	2026-09-09 16:24:00
13	3	coupon	会员权益升级	恭喜您成为 vip 会员, 尽享折扣与优惠券回馈	\N	0	2026-09-08 22:24:00
14	4	coupon	优惠券即将过期	您有 1 张满50减8 券将在3天后过期	\N	0	2026-09-08 11:24:00
15	4	point	积分到账	本次充电获得积分, 可在积分商城使用	\N	0	2026-09-09 12:24:00
16	4	system	夜间充电优惠	00:00-08:00 谷电时段服务费有优惠	\N	0	2026-09-07 17:24:00
17	4	reservation	附近新增电站	您收藏的区域新增了电站, 快去看看吧	\N	1	2026-09-09 14:24:00
18	5	system	欢迎使用充电服务	完成首单可获得新人立减券一张	\N	1	2026-09-09 04:24:00
19	5	order	订单已结算	感谢使用, 本次充电已结算完成	\N	1	2026-09-09 10:24:00
20	5	reservation	排队提醒	您预约的电站已有空闲电桩	\N	0	2026-09-09 14:24:00
21	5	coupon	会员权益升级	恭喜您成为 vip 会员, 尽享折扣与优惠券回馈	\N	0	2026-09-08 20:24:00
22	6	coupon	优惠券即将过期	您有 1 张满50减8 券将在3天后过期	\N	0	2026-09-08 09:24:00
23	6	point	积分到账	本次充电获得积分, 可在积分商城使用	\N	0	2026-09-09 10:24:00
24	6	system	夜间充电优惠	00:00-08:00 谷电时段服务费有优惠	\N	0	2026-09-07 15:24:00
25	6	reservation	附近新增电站	您收藏的区域新增了电站, 快去看看吧	\N	1	2026-09-09 12:24:00
26	7	system	欢迎使用充电服务	完成首单可获得新人立减券一张	\N	1	2026-09-09 02:24:00
27	7	order	订单已结算	感谢使用, 本次充电已结算完成	\N	1	2026-09-09 08:24:00
28	7	reservation	排队提醒	您预约的电站已有空闲电桩	\N	0	2026-09-09 12:24:00
29	7	coupon	会员权益升级	恭喜您成为 vip 会员, 尽享折扣与优惠券回馈	\N	0	2026-09-08 18:24:00
30	8	coupon	优惠券即将过期	您有 1 张满50减8 券将在3天后过期	\N	0	2026-09-08 07:24:00
31	8	point	积分到账	本次充电获得积分, 可在积分商城使用	\N	0	2026-09-09 08:24:00
32	8	system	夜间充电优惠	00:00-08:00 谷电时段服务费有优惠	\N	0	2026-09-07 13:24:00
33	8	reservation	附近新增电站	您收藏的区域新增了电站, 快去看看吧	\N	1	2026-09-09 10:24:00
34	9	system	欢迎使用充电服务	完成首单可获得新人立减券一张	\N	1	2026-09-09 00:24:00
35	9	order	订单已结算	感谢使用, 本次充电已结算完成	\N	1	2026-09-09 06:24:00
36	9	reservation	排队提醒	您预约的电站已有空闲电桩	\N	0	2026-09-09 10:24:00
37	9	coupon	会员权益升级	恭喜您成为 vip 会员, 尽享折扣与优惠券回馈	\N	0	2026-09-08 16:24:00
38	10	coupon	优惠券即将过期	您有 1 张满50减8 券将在3天后过期	\N	0	2026-09-08 05:24:00
39	10	point	积分到账	本次充电获得积分, 可在积分商城使用	\N	0	2026-09-09 06:24:00
40	10	system	夜间充电优惠	00:00-08:00 谷电时段服务费有优惠	\N	0	2026-09-07 11:24:00
41	10	reservation	附近新增电站	您收藏的区域新增了电站, 快去看看吧	\N	1	2026-09-09 08:24:00
42	11	system	欢迎使用充电服务	完成首单可获得新人立减券一张	\N	1	2026-09-08 22:24:00
43	11	order	订单已结算	感谢使用, 本次充电已结算完成	\N	1	2026-09-09 04:24:00
44	11	reservation	排队提醒	您预约的电站已有空闲电桩	\N	0	2026-09-09 08:24:00
45	11	coupon	会员权益升级	恭喜您成为 vip 会员, 尽享折扣与优惠券回馈	\N	0	2026-09-08 14:24:00
46	12	coupon	优惠券即将过期	您有 1 张满50减8 券将在3天后过期	\N	0	2026-09-08 03:24:00
47	12	point	积分到账	本次充电获得积分, 可在积分商城使用	\N	0	2026-09-09 04:24:00
48	12	system	夜间充电优惠	00:00-08:00 谷电时段服务费有优惠	\N	0	2026-09-07 09:24:00
49	12	reservation	附近新增电站	您收藏的区域新增了电站, 快去看看吧	\N	1	2026-09-09 06:24:00
50	13	system	欢迎使用充电服务	完成首单可获得新人立减券一张	\N	1	2026-09-08 20:24:00
51	13	order	订单已结算	感谢使用, 本次充电已结算完成	\N	1	2026-09-09 02:24:00
52	13	reservation	排队提醒	您预约的电站已有空闲电桩	\N	0	2026-09-09 06:24:00
53	13	coupon	会员权益升级	恭喜您成为 vip 会员, 尽享折扣与优惠券回馈	\N	0	2026-09-08 12:24:00
54	14	coupon	优惠券即将过期	您有 1 张满50减8 券将在3天后过期	\N	0	2026-09-08 01:24:00
55	14	point	积分到账	本次充电获得积分, 可在积分商城使用	\N	0	2026-09-09 02:24:00
56	14	system	夜间充电优惠	00:00-08:00 谷电时段服务费有优惠	\N	0	2026-09-07 07:24:00
57	14	reservation	附近新增电站	您收藏的区域新增了电站, 快去看看吧	\N	1	2026-09-09 04:24:00
58	15	system	欢迎使用充电服务	完成首单可获得新人立减券一张	\N	1	2026-09-08 18:24:00
59	15	order	订单已结算	感谢使用, 本次充电已结算完成	\N	1	2026-09-09 00:24:00
60	15	reservation	排队提醒	您预约的电站已有空闲电桩	\N	0	2026-09-09 04:24:00
61	15	coupon	会员权益升级	恭喜您成为 vip 会员, 尽享折扣与优惠券回馈	\N	0	2026-09-08 10:24:00
62	16	coupon	优惠券即将过期	您有 1 张满50减8 券将在3天后过期	\N	0	2026-09-07 23:24:00
63	16	point	积分到账	本次充电获得积分, 可在积分商城使用	\N	0	2026-09-09 00:24:00
64	16	system	夜间充电优惠	00:00-08:00 谷电时段服务费有优惠	\N	0	2026-09-07 05:24:00
65	16	reservation	附近新增电站	您收藏的区域新增了电站, 快去看看吧	\N	1	2026-09-09 02:24:00
66	17	system	欢迎使用充电服务	完成首单可获得新人立减券一张	\N	1	2026-09-08 16:24:00
67	17	order	订单已结算	感谢使用, 本次充电已结算完成	\N	1	2026-09-08 22:24:00
68	17	reservation	排队提醒	您预约的电站已有空闲电桩	\N	0	2026-09-09 02:24:00
69	17	coupon	会员权益升级	恭喜您成为 vip 会员, 尽享折扣与优惠券回馈	\N	0	2026-09-08 08:24:00
