1	7	14	\N	4.3	4.3	4.1	3.4	4.1	4.2	["quiet_night", "good_fast_charge"]	充电速度不错，位置好找。	5	normal	2026-08-15 21:24:00
2	13	24	\N	3.7	3.7	4.7	3.2	3.5	4.7	["spacious", "fast_charge"]	充电速度不错，位置好找。	3	normal	2026-08-23 21:24:00
3	13	26	\N	4.0	4.0	4.1	4.4	4.4	3.7	["heavy_queue", "fast_charge"]	充电速度不错，位置好找。	1	normal	2026-09-04 21:24:00
4	16	30	\N	4.4	4.4	3.2	3.5	3.7	4.4	["heavy_queue", "good_service"]	充电速度不错，位置好找。	6	normal	2026-08-20 21:24:00
5	17	10	\N	4.6	4.6	4.2	4.9	4.6	4.5	["good_service", "fast_charge"]	充电速度不错，位置好找。	3	normal	2026-08-18 21:24:00
6	17	10	\N	3.8	3.8	4.6	4.0	4.4	4.4	["heavy_queue", "fast_charge"]	充电速度不错，位置好找。	5	normal	2026-09-01 21:24:00
7	1	6	\N	3.6	3.6	3.6	3.8	4.3	4.1	["spacious", "good_fast_charge"]	充电速度不错，位置好找。	0	normal	2026-08-16 21:24:00
8	3	30	\N	3.6	3.6	3.6	4.7	4.8	4.0	["quiet_night", "spacious"]	充电速度不错，位置好找。	3	normal	2026-08-25 21:24:00
9	13	19	\N	3.5	3.5	3.4	4.0	4.1	4.3	["quiet_night", "fast_charge"]	充电速度不错，位置好找。	8	normal	2026-08-31 21:24:00
10	9	23	\N	4.2	4.2	3.8	4.0	3.5	4.0	["good_service", "heavy_queue"]	充电速度不错，位置好找。	7	normal	2026-08-21 21:24:00
11	1	16	\N	3.7	3.7	3.1	4.3	5.0	4.5	["spacious", "quiet_night"]	充电速度不错，位置好找。	6	normal	2026-08-28 21:24:00
12	17	18	\N	3.5	3.5	4.7	3.5	3.2	4.5	["quiet_night", "fast_charge"]	充电速度不错，位置好找。	8	normal	2026-09-03 21:24:00
