1	13	24	234	\N	completed	30.9	95.0	100.0	2026-08-10 15:55:00	2026-08-10 16:55:00	60	99.4	flat	69.58	0.0	69.58	0	\N	9	2026-08-10 15:49:00	2026-08-10 16:57:00
2	8	22	211	\N	completed	31.2	95.0	45.1	2026-08-10 15:20:00	2026-08-10 17:31:00	131	13.93	flat	9.75	0.0	9.75	0	\N	1	2026-08-10 15:14:00	2026-08-10 17:33:00
3	13	8	78	\N	completed	39.0	95.0	62.5	2026-08-10 18:02:00	2026-08-10 22:08:00	246	23.5	peak	23.5	0.0	23.5	0	\N	2	2026-08-10 17:56:00	2026-08-10 22:10:00
4	4	23	226	\N	completed	10.5	95.0	26.3	2026-08-10 09:33:00	2026-08-10 11:58:00	145	15.84	flat	11.09	0.0	11.09	0	\N	1	2026-08-10 09:27:00	2026-08-10 12:00:00
5	5	4	39	\N	completed	20.2	95.0	46.7	2026-08-10 07:50:00	2026-08-10 11:50:00	240	26.47	valley	10.59	0.0	10.59	0	\N	2	2026-08-10 07:44:00	2026-08-10 11:52:00
6	3	18	169	\N	completed	38.6	95.0	100.0	2026-08-10 17:54:00	2026-08-10 19:17:00	83	109.57	peak	109.57	0.0	109.57	0	\N	10	2026-08-10 17:48:00	2026-08-10 19:19:00
7	16	29	278	\N	completed	28.9	95.0	62.9	2026-08-10 16:39:00	2026-08-10 17:21:00	42	34.03	flat	23.82	0.0	23.82	0	\N	3	2026-08-10 16:33:00	2026-08-10 17:23:00
8	8	5	47	\N	completed	31.1	95.0	55.7	2026-08-10 20:06:00	2026-08-10 23:57:00	231	24.63	peak	24.63	0.0	24.63	0	\N	2	2026-08-10 20:00:00	2026-08-10 23:59:00
9	6	16	154	\N	completed	11.7	95.0	81.3	2026-08-10 06:02:00	2026-08-10 06:43:00	41	69.59	valley	27.84	0.0	27.84	0	\N	6	2026-08-10 05:56:00	2026-08-10 06:45:00
10	14	8	75	\N	completed	30.5	95.0	100.0	2026-08-10 10:33:00	2026-08-10 11:28:00	55	71.1	flat	49.77	0.0	49.77	0	\N	7	2026-08-10 10:27:00	2026-08-10 11:30:00
11	6	5	41	\N	completed	30.5	95.0	98.2	2026-08-10 07:55:00	2026-08-10 09:14:00	79	67.73	valley	27.09	0.0	27.09	0	\N	6	2026-08-10 07:49:00	2026-08-10 09:16:00
12	5	13	119	\N	completed	17.7	95.0	100.0	2026-08-10 14:40:00	2026-08-10 15:49:00	69	115.66	flat	80.96	0.0	80.96	0	\N	11	2026-08-10 14:34:00	2026-08-10 15:51:00
13	15	15	148	\N	completed	23.3	95.0	51.5	2026-08-10 00:34:00	2026-08-10 05:27:00	293	28.16	valley	11.26	0.0	11.26	0	\N	2	2026-08-10 00:28:00	2026-08-10 05:29:00
14	10	22	218	\N	completed	19.1	95.0	49.1	2026-08-10 09:16:00	2026-08-10 14:12:00	296	29.99	flat	20.99	0.0	20.99	0	\N	2	2026-08-10 09:10:00	2026-08-10 14:14:00
