1	全市	sunny	27.0	今日晴, 适合出行	2026-09-09 21:24:00
2	商业区	sunny	28.0	午后有短时云量增多	2026-09-09 21:24:00
3	高新区	cloudy	26.0	多云转晴, 无降水	2026-09-09 21:24:00
4	大学城	sunny	27.0	晴, 紫外线较强	2026-09-09 21:24:00
5	老城区	cloudy	26.0	多云, 体感舒适	2026-09-09 21:24:00
6	滨河区	rain	24.0	有小雨, 注意路面湿滑	2026-09-09 21:24:00
7	城东区	sunny	27.0	晴间多云, 风力较小	2026-09-09 21:24:00
8	新城区	cloudy	25.0	局部多云, 出行注意增减衣物	2026-09-09 21:24:00
9	物流园	rain	23.0	有小到中雨, 路滑慢行	2026-09-09 21:24:00
10	临港区	cloudy	25.0	海风较大, 体感偏凉	2026-09-09 21:24:00
11	郊野	sunny	29.0	晴, 郊游适宜, 注意防晒	2026-09-09 21:24:00
12	商务区	cloudy	26.0	阴天, 无降水	2026-09-09 21:24:00
13	上海·徐汇	rain	28.0	上海有分散阵雨, 携带雨具	2026-09-09 21:24:00
14	上海·浦东	cloudy	27.0	上海多云, 午后放晴	2026-09-09 21:24:00
15	深圳·南山	sunny	30.0	深圳晴热, 需注意防暑	2026-09-09 21:24:00
16	广州·天河	rain	29.0	广州午后雷阵雨	2026-09-09 21:24:00
17	杭州·西湖	cloudy	28.0	杭州多云, 适合出行	2026-09-09 21:24:00
18	成都·天府新区	cloudy	25.0	成都多云, 偶有小雨	2026-09-09 21:24:00
19	武汉·光谷	hot	32.0	武汉高温闷热	2026-09-09 21:24:00
20	南京·江北	sunny	29.0	南京晴, 紫外线较强	2026-09-09 21:24:00
21	西安·高新	sunny	30.0	西安晴, 昼夜温差大	2026-09-09 21:24:00
22	北京·朝阳	cloudy	26.0	北京多云, 午后有风	2026-09-09 21:24:00
23	北京·海淀	cloudy	25.0	北京多云转晴	2026-09-09 21:24:00
24	江苏苏州·园区	rain	26.0	苏州有阵雨, 出行注意	2026-09-09 21:24:00
25	天津·滨海	sunny	24.0	天津晴, 沿海风较大	2026-09-09 21:24:00
26	重庆·两江	hot	33.0	重庆闷热, 午后有雷阵雨	2026-09-09 21:24:00
27	河南郑州·金水	sunny	28.0	郑州晴, 体感舒适	2026-09-09 21:24:00
28	安徽合肥·蜀山	cloudy	27.0	合肥多云, 无降水	2026-09-09 21:24:00
29	湖南长沙·岳麓	extreme	34.0	长沙高温预警, 减少户外	2026-09-09 21:24:00
