1	A-001	1	fast	60.0	idle	0.0	0.0	31.9		normal	89	1	1	2025-10-04 21:24:00
2	A-002	1	fast	120.0	idle	0.0	0.0	22.8		normal	91	2	177	2025-12-31 21:24:00
3	A-003	1	fast	60.0	idle	0.0	0.0	27.4		normal	99	1	61	2026-01-08 21:24:00
4	A-004	1	fast	60.0	idle	0.0	0.0	22.2		normal	94	2	115	2026-01-05 21:24:00
5	A-005	1	fast	120.0	idle	0.0	0.0	25.0		normal	91	4	213	2026-02-08 21:24:00
6	A-006	1	fast	60.0	charging	0.0	0.0	26.2		normal	95	2	156	2025-07-22 21:24:00
7	A-007	1	slow	7.0	idle	0.0	0.0	24.7		normal	91	4	1036	2025-10-02 21:24:00
8	A-008	1	slow	7.0	idle	0.0	0.0	27.2		normal	100	1	206	2025-01-29 21:24:00
9	A-009	1	slow	7.0	fault	0.0	0.0	26.2	E-0301	abnormal	40	1	151	2025-08-31 21:24:00
10	A-010	1	slow	7.0	reserved	0.0	0.0	22.9		normal	92	1	178	2025-01-27 21:24:00
11	A-011	1	slow	7.0	idle	0.0	0.0	22.6		normal	93	2	386	2025-08-11 21:24:00
12	A-012	1	slow	7.0	offline	0.0	0.0	27.1		abnormal	71	2	424	2025-04-18 21:24:00
13	B-001	2	fast	90.0	idle	0.0	0.0	22.3		normal	100	0	0	2025-07-01 21:24:00
14	B-002	2	fast	60.0	idle	0.0	0.0	27.8		normal	89	1	82	2025-08-12 21:24:00
15	B-003	2	fast	120.0	idle	0.0	0.0	23.8		normal	96	1	64	2025-04-06 21:24:00
16	B-004	2	fast	60.0	idle	0.0	0.0	25.5		normal	93	1	90	2025-02-26 21:24:00
17	B-005	2	fast	120.0	charging	0.0	0.0	26.6		normal	82	2	160	2026-01-12 21:24:00
18	B-006	2	fast	120.0	idle	0.0	0.0	24.3		normal	89	1	48	2025-07-04 21:24:00
19	B-007	2	slow	7.0	fault	0.0	0.0	23.0	E-0301	abnormal	46	1	195	2025-08-24 21:24:00
20	B-008	2	slow	7.0	idle	0.0	0.0	26.0		normal	91	1	289	2025-02-27 21:24:00
21	B-009	2	slow	7.0	reserved	0.0	0.0	25.9		normal	98	3	668	2025-04-16 21:24:00
22	B-010	2	slow	7.0	idle	0.0	0.0	23.0		normal	98	0	0	2025-02-13 21:24:00
23	C-001	3	fast	120.0	idle	0.0	0.0	24.8		normal	90	2	131	2025-10-06 21:24:00
24	C-002	3	fast	60.0	idle	0.0	0.0	25.3		normal	99	4	288	2025-03-08 21:24:00
25	C-003	3	fast	90.0	idle	0.0	0.0	26.7		normal	100	3	236	2025-10-27 21:24:00
26	C-004	3	fast	120.0	charging	0.0	0.0	24.4		normal	85	1	46	2026-01-19 21:24:00
27	C-005	3	fast	120.0	idle	0.0	0.0	27.3		normal	97	3	211	2025-09-13 21:24:00
28	C-006	3	fast	120.0	idle	0.0	0.0	25.0		normal	98	2	109	2025-03-29 21:24:00
29	C-007	3	slow	7.0	idle	0.0	0.0	22.9		normal	95	0	0	2025-12-12 21:24:00
30	C-008	3	slow	7.0	reserved	0.0	0.0	26.5		normal	91	3	637	2025-05-22 21:24:00
31	C-009	3	slow	7.0	idle	0.0	0.0	26.5		normal	92	2	411	2025-07-17 21:24:00
32	C-010	3	slow	7.0	offline	0.0	0.0	24.2		abnormal	72	2	521	2025-12-13 21:24:00
33	D-001	4	fast	60.0	idle	0.0	0.0	22.5		normal	95	4	315	2026-01-28 21:24:00
34	D-002	4	fast	120.0	idle	0.0	0.0	25.8		normal	90	2	101	2025-03-10 21:24:00
35	D-003	4	fast	90.0	charging	0.0	0.0	24.3		normal	77	0	0	2025-04-22 21:24:00
36	D-004	4	fast	90.0	idle	0.0	0.0	23.5		normal	96	2	161	2025-05-14 21:24:00
37	D-005	4	fast	120.0	idle	0.0	0.0	26.3		normal	98	2	135	2025-03-09 21:24:00
38	D-006	4	slow	7.0	idle	0.0	0.0	26.5		normal	96	3	634	2025-01-24 21:24:00
39	D-007	4	slow	7.0	reserved	0.0	0.0	24.0		normal	98	3	609	2025-09-24 21:24:00
40	D-008	4	slow	7.0	idle	0.0	0.0	22.9		normal	94	2	448	2026-02-20 21:24:00
41	E-001	5	fast	60.0	idle	0.0	0.0	23.6		normal	99	1	79	2025-06-10 21:24:00
42	E-002	5	fast	120.0	charging	0.0	0.0	27.2		normal	78	2	128	2025-09-22 21:24:00
43	E-003	5	fast	60.0	idle	0.0	0.0	25.7		normal	96	1	71	2025-12-05 21:24:00
44	E-004	5	fast	90.0	idle	0.0	0.0	23.0		normal	100	0	0	2025-01-19 21:24:00
45	E-005	5	fast	60.0	idle	0.0	0.0	25.6		normal	88	2	108	2025-06-16 21:24:00
46	E-006	5	fast	120.0	reserved	0.0	0.0	27.6		normal	89	5	352	2025-09-17 21:24:00
47	E-007	5	slow	7.0	idle	0.0	0.0	22.3		normal	91	3	707	2025-05-07 21:24:00
48	E-008	5	slow	7.0	idle	0.0	0.0	22.5		normal	89	3	795	2025-06-18 21:24:00
