1	13	9	charge	2026-08-10 16:57:00
2	8	1	charge	2026-08-10 17:33:00
3	13	2	charge	2026-08-10 22:10:00
4	4	1	charge	2026-08-10 12:00:00
5	5	2	charge	2026-08-10 11:52:00
6	3	10	charge	2026-08-10 19:19:00
7	16	3	charge	2026-08-10 17:23:00
8	8	2	charge	2026-08-10 23:59:00
9	6	6	charge	2026-08-10 06:45:00
10	14	7	charge	2026-08-10 11:30:00
11	6	6	charge	2026-08-10 09:16:00
12	5	11	charge	2026-08-10 15:51:00
13	15	2	charge	2026-08-10 05:29:00
14	10	2	charge	2026-08-10 14:14:00
15	16	7	charge	2026-08-11 00:21:00
16	10	2	charge	2026-08-11 04:15:00
17	2	2	charge	2026-08-10 21:04:00
18	7	3	charge	2026-08-10 14:43:00
19	4	2	charge	2026-08-11 11:11:00
20	3	7	charge	2026-08-11 18:49:00
21	12	2	charge	2026-08-11 23:08:00
22	16	11	charge	2026-08-11 22:24:00
23	5	3	charge	2026-08-12 02:41:00
24	12	2	charge	2026-08-11 22:43:00
25	9	2	charge	2026-08-11 15:08:00
26	11	2	charge	2026-08-11 06:51:00
27	14	6	charge	2026-08-11 17:52:00
28	4	12	charge	2026-08-11 15:24:00
29	14	5	charge	2026-08-11 22:49:00
30	9	13	charge	2026-08-11 12:49:00
31	12	10	charge	2026-08-11 09:48:00
32	13	1	charge	2026-08-11 12:57:00
33	7	1	charge	2026-08-11 09:04:00
34	7	10	charge	2026-08-11 20:05:00
35	11	12	charge	2026-08-11 21:29:00
36	5	6	charge	2026-08-11 23:49:00
37	1	11	charge	2026-08-11 04:22:00
38	2	2	charge	2026-08-11 11:22:00
39	12	2	charge	2026-08-11 16:39:00
40	17	2	charge	2026-08-11 20:40:00
41	14	2	charge	2026-08-12 23:52:00
42	5	8	charge	2026-08-12 07:07:00
43	13	1	charge	2026-08-12 20:46:00
44	4	10	charge	2026-08-12 20:23:00
45	11	11	charge	2026-08-12 09:33:00
46	9	4	charge	2026-08-12 10:34:00
47	3	6	charge	2026-08-12 19:35:00
48	11	9	charge	2026-08-12 16:30:00
49	2	2	charge	2026-08-12 15:54:00
50	16	1	charge	2026-08-12 10:51:00
51	8	2	charge	2026-08-12 23:14:00
52	1	5	charge	2026-08-12 16:54:00
53	12	4	charge	2026-08-12 21:48:00
54	1	2	charge	2026-08-12 10:30:00
55	10	11	charge	2026-08-12 09:07:00
56	2	10	charge	2026-08-12 08:27:00
57	9	2	charge	2026-08-12 16:20:00
58	16	9	charge	2026-08-12 18:43:00
59	1	8	charge	2026-08-12 17:14:00
60	1	2	charge	2026-08-13 13:03:00
61	12	11	charge	2026-08-13 10:02:00
62	3	10	charge	2026-08-13 14:45:00
63	4	3	charge	2026-08-13 12:03:00
64	12	10	charge	2026-08-13 15:03:00
65	3	7	charge	2026-08-13 12:48:00
